id,lang,text
1423378,cmn,有必要的话，你就留着这本字典吧。
918527,cmn,昨天他们坐公车去了动物园。
849289,cmn,我覺得這本書非常有趣。
10322371,cmn,有人走了。
805216,cmn,他升职了。
1477287,cmn,她没看到你的话就没有什么担心的。
2029397,cmn,箭头指出了前进的方向。
465875,cmn,她不可能超过30岁了。
2938694,cmn,第三，请每个项目主管报告进度。
6119322,cmn,今天是我一个朋友的生日。
6057693,cmn,你和安娜的飛機二十六號幾點到北京首都機場。
766754,cmn,這是到目前為止我所知道的。
4705815,cmn,如果你想的话，今天下午给我打电话。
9419117,cmn,我想到了好主意。
5112348,cmn,我們學習漢語。
1233797,cmn,他身肩重任。
3149094,cmn,在桃花心木的書桌上有著金屬的杯子和藍色杯墊。
502837,cmn,所有说出来太傻的都被唱出来了。
1646871,cmn,你給我看看這些照片！
11282480,cmn,汤姆爱他的妻子。
5812360,cmn,我只是不想嫁給你。
10596797,cmn,現在太暗了，打不了棒球。
10059152,cmn,每天吃无花果健康吗？
5577660,cmn,我开车去办公室。
805658,cmn,公園裡有好多動物。
778553,cmn,"瑪麗的背不好, 她很難把東西舉起來。"
775653,cmn,我排上队不久后，一个男人过来问我要不要出租车。
2255109,cmn,我在这项计划上投入了所有精力。
4265023,cmn,谢谢，那边一切都好。
797534,cmn,我试图不把她的缺席放在心上，但只是徒然。
6333812,cmn,我学日語有困難。
7980262,cmn,我還沒和湯姆討論過那個。
5911753,cmn,你应该能解决。
6057705,cmn,我喜歡吃肉。
4267401,cmn,夏天的时候，我每天都去游泳池。
8791843,cmn,汤姆握紧了他的拳头。
9423266,cmn,萨米的房门开着。
861786,cmn,Alexandre 经常去超级市场。
344205,cmn,放下你们的武器。
6151829,cmn,我們偉大的祖國無敵於天下。
3608244,cmn,我喜欢玩扑克。
6047144,cmn,我媽媽叫露西，她是英國人。
609922,cmn,当我离开家的时候天空很明朗。
883408,cmn,我想他們會遲到。
834405,cmn,我買了一台不錯的照相機。
3035567,cmn,不管训练多么艰苦，她都没有哭过。
6387613,cmn,他變得蒼白因為寒冷
8723588,cmn,我的力气耗尽了。
5683221,cmn,別忘了把這封信寄了。
8930187,cmn,资本主义是贫穷。
1163567,cmn,你是哪国人？
811371,cmn,你们可以搜索词并得到翻译。但这真不是一本寻常的字典。
1878344,cmn,我信任你。
10961153,cmn,读书。
12615492,cmn,我希望在我去世后有人记得我。
6047112,cmn,你好，你是安娜嗎？
5550104,cmn,湯姆是瑪麗的繼子。
767722,cmn,她从早到晚都在学习。
13138220,cmn,我沒想要打他。
421120,cmn,要不是你提醒我，无论如何也想不起来。
6744774,cmn,告诉我这个的用法吧。
891655,cmn,我的房子就在對街。
5963244,cmn,你永远别回来了。
880987,cmn,今天早上我起得很晚。
2383149,cmn,玛丽喝咖啡不喜欢放糖。
10650613,cmn,我沒現金，寫張支票可以嗎？
10617231,cmn,艾美莉學了點兒羅馬尼亞語。
8743233,cmn,这首歌很好听。
2317127,cmn,她的头发长回原来的长度了。
908550,cmn,我們很快樂。
718396,cmn,他竟然厚着脸皮穿过我们的花园。
5617184,cmn,兄弟，你找箇毛呢？
735284,cmn,让我安心工作。
762937,cmn,沉默是金。
8556522,cmn,趁你还年轻的时候，你应该尽可能经常地这样做。
5097569,cmn,看来今天会是漫长的一天啊。
770341,cmn,房間裡家具齊全。
5670853,cmn,他們第一箇孩子出生了，很高興。
334318,cmn,我的嘴裂开了。
332440,cmn,这和我那本是同一本书。
883499,cmn,我警告了他不要遲到。
6002105,cmn,狗在桌子下边。
805914,cmn,我有一些書。
5552093,cmn,湯姆從來就不是我的朋友。
332898,cmn,你支持还是反对堕胎？
870134,cmn,這些玩具適合女生。
459348,cmn,我連做夢也沒有想過喬治會騙我。
1572653,cmn,這個字也是由法語衍生出來的。
5640723,cmn,我下周六買雙語詞典。
7768277,cmn,别问我这是什么东西！
10495864,cmn,她們是俄羅斯人。
6678471,cmn,如果我们照了汤姆的话去做这一切都是没必要的。
1872166,cmn,这些东西对健康有害吗？
5780505,cmn,她叫了我很多次。
2255121,cmn,牙疼。我无法忍受这种疼痛。
1783903,cmn,许多学生喜欢在早上学习。
813582,cmn,你读完那本书了吗？
2394622,cmn,大部分男子都像父亲。
4906192,cmn,汤姆，对你而言幸福是什么呢？
10696106,cmn,玛丽和我只是朋友。
826220,cmn,男孩子們保持安靜。
1187429,cmn,韦斯特先生和女士正在蜜月旅行的路上。
907879,cmn,為什麼珍去了車站?
333569,cmn,好的，但我们先吃晚饭吧。
8387423,cmn,肯明年就15歲了。
846793,cmn,他是为这个原因离开了学校。
747918,cmn,他们的四合院要小得多，设计和装饰也比较简单，胡同也比较窄。
7774815,cmn,不管你选哪条路，你都能按时到那里。
1738286,cmn,奥运会已经开幕了。
1869205,cmn,我需要一辆新车。
9432398,cmn,我完全不管。
611536,cmn,他适应了新的生活方式。
8605825,cmn,各尽所能、按需分配。
881095,cmn,我相信他是無辜的。
797127,cmn,美雪為派對擺好桌子。
346460,cmn,老板对你的工作有很高的评价。
2499993,cmn,在那帮人发现你之前逃离这儿吧。
10026150,cmn,你知道我喜欢你吗？
476227,cmn,我学韩语。
473733,cmn,他把自己的钱包掉到地上，现在是我的了。
2777942,cmn,汤姆总是旷课。
6744741,cmn,她请了我吃晚饭。
10926518,cmn,我什么都没说她就生气了。
3715247,cmn,我想知道。
423191,cmn,他们的想法太过时了。
7773207,cmn,我在这栋楼里工作。
403495,cmn,麻煩你在四時叫我起床。我一定要乘到頭班火車。
9834560,cmn,人的需求是多样且因人而异。
3981130,cmn,汤姆不怕玛丽。
494465,cmn,我的房間比你大一倍。
1329981,cmn,是的，但她刚离开。
8589278,cmn,他们不是很可靠，是吗？
1642779,cmn,安不会来参加我们的派对。
2879774,cmn,明年女王会去观光中国。
3084413,cmn,这家店从早上9点开到午后6点。
10083987,cmn,还在等什么呢！
753256,cmn,把我的心给你。
4805737,cmn,湯姆被卡車撞到而且當場死亡。
718410,cmn,他一到，咱們就走了吧。
7753594,cmn,她曾是班上唱歌絕對的第一名。
689555,cmn,Bob 和Tom 是兄弟。
3378005,cmn,我觉得你发烧了。
2029333,cmn,把蓝莓酱藏在享子看不到的地方。
13104192,cmn,萨哈达在伊斯兰教是信仰的证明。
1883017,cmn,全世界有超过4000多种的语言。
10184237,cmn,我真的非常开心。
3706733,cmn,你喜歡什麼就拿吧。
1404402,cmn,你好烦人。
793915,cmn,他們在還很年輕的時候就結婚了。
816913,cmn,在15世紀，琉球王國是中國帝國的附庸國。
336611,cmn,我要和Marty讨论一下，看看他怎么想。
894082,cmn,我們老師要我們打掃這間房間。
894358,cmn,我將永遠不會忘記你告訴過我的話。
420592,cmn,请你在这个地方签个字。
420758,cmn,外甥今年考大学少了几分没有考进重点大学。
1313748,cmn,他的故事很有意思。
848425,cmn,他的新小說值得一讀。
10495876,cmn,他決定推遲他出發的日期。
6792265,cmn,谢谢您的贡献。预计我们很快会再见面。
10513300,cmn,"Vaya的意思是""哇哦""，""baya""的意思是""浆果""，""valla""的意思是""栅栏""。"
9956915,cmn,雅妮和努亚全神贯注地听斯库拉说话。
738458,cmn,做你想做的就好，因為無論如何都會有閒言閒語。
734923,cmn,可以給我一張餐巾紙嗎?
816767,cmn,你可以問問在那裡玩的孩子。
811693,cmn,隨著時間的流逝，這些克里奧爾語成為了獨立的語言：西班牙語，法語，意大利語等等。
777700,cmn,我可以帶喝的東西給你嗎?
679397,cmn,你们给了小费吗？
4408164,cmn,这件事对谁都没有好处。
5552442,cmn,她全身穿黑色。
10365082,cmn,湯姆是瑪麗亞的兒子。
472867,cmn,我相信他是老实人。
348589,cmn,松鼠躲在树枝底下。
373447,cmn,我没钱。
830465,cmn,清潔窗戶後，我能很清楚的從窗戶看出去。
804529,cmn,我父親一點也不懂藝術。
1779159,cmn,他爽快地同意了。
6940187,cmn,幫我削一下土豆。
10631702,cmn,他有80公斤。
1325211,cmn,花园里的花需要浇水。
2342823,cmn,我不能去那里，而且我根本不想去。
6630026,cmn,這是怎麼運行的？
2177975,cmn,我在这里吃饭。
5502146,cmn,我一直都知道我生來就是為了做這工作。
10961156,cmn,对不起，我不喜欢吃这个。
802021,cmn,我的母親在她的花園裡種花。
450978,cmn,这是给你的。
347028,cmn,他接手了他父亲的公司。
333126,cmn,这个房间里有个电视机。
2128240,cmn,我的老师教我负数也可以开平方根。
333928,cmn,明天会下雨吗？
806184,cmn,金錢是一切罪惡之源。
12148693,cmn,她盡了自己的職責。
6114416,cmn,他們甚麼也不會告訴我們。
5780577,cmn,汤姆比你高。
10529595,cmn,湯姆用了瑪麗的手機。
10470530,cmn,菜單在誰手裡啊？
798264,cmn,請相信我的話。
1426459,cmn,仔细回答我的问题。
341934,cmn,这个典礼有多正式?
3706784,cmn,誰在看電視？
1780725,cmn,他侵犯了她的隐私。
802013,cmn,他走進了房間。
333837,cmn,我们的市场占有率为20%。
8686681,cmn,我的小狗们杀了汤姆养的其中一只猫。
8555682,cmn,我只想向自己证明我可以做到。
1067335,cmn,一切都是接口
517574,cmn,你会跳舞，不是吗？
380463,cmn,我不明白你的意思是甚麼。
342197,cmn,希望她會早日痊癒。
407471,cmn,因为你是一位又和蔼又了不起的姑娘。
413246,cmn,快要到早上的繁忙時段了，我們還不出發就要堵車了。
435711,cmn,他喝咖啡不喜歡加糖。
10518721,cmn,那東西對你不好。
9419137,cmn,我希望你知道我已经试了阻止汤姆。
882511,cmn,我不能忍受他的傲慢。
899403,cmn,世上最好的小提琴是用雷击木造成的。
352046,cmn,这首诗混合了诗歌和散文。
8798302,cmn,我父亲出门了。
4265085,cmn,在法国，名放在姓前面。
9964350,cmn,你欠我一份真相。
1177017,cmn,天空突然變得烏雲密佈。
917768,cmn,Luke，我是你的爸爸。
5903470,cmn,汤姆是玛丽的前男友。
10290167,cmn,湯姆租了一部電影。
1397151,cmn,我对消息感到十分惊讶。
9012191,cmn,他是个好脾气的人。
875313,cmn,你喜歡這些畫裡的任何一幅嗎?
2032308,cmn,进教室的时候请把帽子摘了。
838379,cmn,君子如水，隨方就圓，無處不自在。
5911651,cmn,你脸红了。
3681197,cmn,你可以休息在草地上，但是别踩它
1225698,cmn,聽到這事之後，湯姆為之色變。
1130532,cmn,我今年十九歲。
1397364,cmn,我看不出为什么不。
6150026,cmn,我是湯姆的助手。
9496157,cmn,太阳公公躲在云朵后面。
2038838,cmn,为什么你每天都学习呢？
1691681,cmn,我在等待朋友的回信。
9475787,cmn,一位王子骑着白马到来了。
3493168,cmn,让我们现在回到正题上好不好？
5708688,cmn,我覺得我不是很餓。
5617215,cmn,我确定汤姆会尽力去做。
10597783,cmn,2022/2972 新年快乐！
8640058,cmn,不在祖国的时候我很想家，但是在家的时候我又想旅游
5973393,cmn,我们也不得不做
8842967,cmn,汤姆的体脂率是7%。
1779146,cmn,他掏出几枚硬币。
9489470,cmn,我没什么选择。
4878949,cmn,谢谢！
1236297,cmn,我打開箱子，但裡面是空的。
3537954,cmn,你看过那部电影吗？
2353510,cmn,您也是喀什人吗？
8463667,cmn,我保证我会做的。
1394840,cmn,她是一名无人能敌的歌手。
469283,cmn,您永远不会一个人的。
805044,cmn,我發現了鎮上一些有趣的事。
9432390,cmn,汤姆和玛丽都死了。
9475936,cmn,汤姆比我年轻。
2032258,cmn,他失信了，这让他妻子生气。
1424148,cmn,她是个合格的护士。
5570613,cmn,吃过饭了吗
790596,cmn,他總是把他的看法強加給我。
8673684,cmn,请问我的母亲在哪儿？
12568851,cmn,国际局势发生了很大的变动。
1323678,cmn,我在修理回家路上捡到的收音机。
3032026,cmn,他已经意识到它了。
7767665,cmn,汤姆擦了地板。
1160771,cmn,他在看书。
4977411,cmn,汤姆已经到了吗？
1112443,cmn,生日快樂，Shishir。
1848064,cmn,邮差送邮件到各个家庭。
5900378,cmn,還能看到那船。
1314203,cmn,我准备好出发了。
13112481,cmn,啾咪。
9972460,cmn,他们都爱我。
734890,cmn,日元強力升值。
803781,cmn,他們彼此相愛。
9975381,cmn,这是个非常好的数据库。
1394900,cmn,那男孩儿来访过我家。
5819691,cmn,我想跟你私下說話。
788636,cmn,这样想的人很少。
2363168,cmn,说到田中先生，你最近见过他吗？
1532166,cmn,湯姆吃了一驚。
2638692,cmn,我知道該走了，但我想留久一點。
1477271,cmn,我们按时预定了产品。然而，要到下个月后才能发货。
8794699,cmn,你低估了你的魅力。
472332,cmn,我生来就是为了爱你的。
347426,cmn,事故差点让他丢了性命。
5401564,cmn,來吧，我們再喝一杯，之後我再帶你回家。
838333,cmn,世上有兩件事不能等：一、孝順 二、行善。
1316888,cmn,永远不要害怕犯错。
6089785,cmn,你说你有困难。我能帮忙吗？
8914615,cmn,她在他们家里感觉很放松。
7704625,cmn,汤姆没有否认他做的事情。
423368,cmn,他在雪中迷了路。
5687178,cmn,只是一個玩笑。
1415738,cmn,我知道你为什么高兴。
1423333,cmn,零錢不用找了。
10256957,cmn,湯姆很嚴格。
2638718,cmn,這裡頭沒有一件事說得通。
