frase,palabra,significado_correcto
看起来这都是天书。,书,
我问他我可不可以看他的书。,书,
很多公司實行8小時工作制。,行,
你们经常旅行吗？,行,
我有新的自行车。,行,
他竟然厚着脸皮穿过我们的花园。,花,
他的爱好是画有花的图。,花,
Ken有比你更多的书。,书,
他给我写了情书。,书,
我有两本书。,书,
會議將會在七月十五日（星期二）的下午、七月十六日（星期三）的全天和七月十七日（星期四）的早上舉行。,行,
少了運氣無法航行。,行,
她種了玫瑰花。,花,
不要打开你的书。,书,
你愚蠢地行事，你会付出代价。,行,
将来我想做飞行员。,行,
那年轻人很喜欢骑自行车。,行,
为了提高出生率，中国政府花了很多钱在大熊猫成功繁殖的研究上。,花,
骑自行车不能载人，你不知道吗？,行,
你们把自行车留下，明天带着身份证和20块钱到交通局领自行车。,行,
天文學涉及恆星和行星的研究。,行,
谁也不能阻止这个计划的实行。,行,
书桌上有一个苹果。,书,
这些高官和富商的大四合院常常有精美雕刻并粉刷的横梁和柱子，并伴有精心修剪的花园。,花,
調查正在進行中。,行,
今天是交学费的最后一天，我银行卡里没钱了。,银行,
学习语言随着Skype的发行而变得更容易。,行,
他在海上旅行。,行,
他的英勇行為使他贏得了尊重。,行,
"如果你做慢一點, 它就會進行的快一點。",行,
他睡得像朵玫瑰花。,花,
"每年此時, 你會發現路邊開著很多花, 比方牛香菜，油菜和蒲公英。",花,
銀行家的生活是沉重的。,行,
我們移走了行李騰出空間讓老太太可以坐下。,行,
我们去了车站为她送行。,行,
咱们一起去图书馆学习，你看怎么样？,书,
花瓣浮在水面上。,花,
她会坐在那里看书。,书,
我喜歡旅行。,行,
就算下雨，足球比賽也會如期進行。,行,
这本书不是我的。,书,
别把鲜花插在牛粪上。,花,
咱们一起去图书馆学习，你说怎么样？,书,
咱们一起去图书馆学习，你觉得怎么样？,书,
你花這麼多的錢買了什麼東西?,花,
"孩子們不是在起居室, 而是在花園裡玩。",花,
"做正常的行為就好, 你做的已經夠瘋狂的了。",行,
不要走在花床上。,花,
我想要聽流行音樂。,行,
唯有我們有一個花園!,花,
中国福建省福州市动物园在训练大熊猫方面做得比它的同行多。,行,
用花迎春是中国的传统。,花,
春季的时候，中国北边很冷，所以在外边的花不开花。,花,
农村的女孩喜欢把红色的纸裁减成桃和李的花及贴在门窗上。,花,
因为气候又暖和又湿润，所以广州一年到头都有花。,花,
从那时起，在广州每年春节的时候都有花节。,花,
那里的古话说“没有花节，没有春节。”,花,
他們在花園裡。,花,
但是，相对于城镇网民，农村网民对网络新闻、搜索引擎、网络购物、网上银行和网上炒股等应用程度要低很多。,银行,
她把她的行李送到機場。,行,
今天下午她將清洗自行車。,行,
飛到這個島將花費您一百美元。,花,
用兩隻手拿好花瓶。,花,
您必須為你自己不小心的行為負責。,行,
"你不知道, 我的兒子, 對於世界如何運行所知甚少?",行,
讓我們繼續進行議程上的項目。,行,
请小心别打碎了这个花瓶。,花,
用兩隻手握這個花瓶。,花,
他們明天舉行婚禮。,行,
"親愛的, 上床吧。 ""不, 還不行。我在Tatoeba上還必須翻譯一些句子。""",行,
他们沿着非洲西岸航行了。,行,
这本书是用简单英语写成的，让初学者看得懂。,书,
我有一辆旧的自行车。,行,
他在行竊的時後被發現。,行,
學校坐落於距離車站步行五分鐘的地方。,行,
"有可能將電腦工作擴展到銀行業務, 會計業務等等。",行,
那天晚上，大學给留学生和中国的学习外语学生举行一个会议。,行,
我花了比平常多一點的時間入睡。,花,
這不是很流行。,行,
你怎么花的那些钱？,花,
我們搭飛機去墨西哥旅行。,行,
搭帳篷花了我們半小時。,花,
花光他們所有的錢會很荒謬。,花,
這家銀行一週前被搶劫。,行,
他們在無重力狀態下進行了一連串的實驗。,行,
讓我們從最後一行開始吧。,行,
"我在我的行李上附上了有我名字的標籤, 但是它很快就剝落了。",行,
科學家們可以很容易地計算出行星之間的距離。,行,
"我是警察。你可以到警察局來嗎? ""為-為什麼?"" ""你不能認為在市中心開槍射擊不是犯罪行為?!""",行,
誰是行政助理？,行,
"錢要花很長的時間來賺, 但你可以一下子就花掉它了。",花,
我理所當然地認為他會履行諾言。,行,
所有的学生中，只有一个看过那本书。,书,
在第四行写下您的姓。,行,
这是一本关于星星的书。,书,
您只要按下按钮就行了。,行,
我回到家的时候，Ken正在读书。,书,
我厌烦了他的行为。,行,
你能把你的自行车借我两天吗？,行,
他履行了他的承诺，并且帮助了他的兄弟。,行,
她不能写字也不能看书。,书,
她用玫瑰花装饰了她的房间。,花,
送这束花的人可能是佐藤小姐。,花,
在我買蔬菜的那個市場上也可以買到花。,花,
那邊停著的那輛自行車是我哥哥的。,行,
他每星期洗自行車。,行,
他们不会让我们进花园的。,花,
他们不会允许我们进花园的。,花,
你用了多少时间来翻译这本书？,书,
花園裡的草發芽了。,花,
這件我想要的夾克花費三百美元。,花,
他在他的花園裡種了蕃茄。,花,
这是托尼的书。,书,
这本书是托尼的。,书,
这本书属于托尼。,书,
完成这个工作不会花太长时间。,花,
我要把这本书留给自己。,书,
我问了比尔他旅行期间天气怎么样。,行,
小心不要在单行道逆向行驶。,行,
她下午会洗自行车。,行,
我的房間面向花園。,花,
我常常看书。,书,
我叔叔在車站附近有一家花店。,花,
修理我的腳踏車花了我一千日圓。,花,
他虽然有好多女朋友，但是还不是一个花花公子。,花,
奉行君主的命令不得有二心，這是古代的制度。,行,
这本书是新的。,书,
这是我仅有的一本书。,书,
孩子们的衣食住行靠的是他们的父母。,行,
今天强盗大白天的就抢了另一家银行。,银行,
你知道伦敦交响乐团的演奏会行程吗？,行,
我爸爸在花园里。,花,
她从伦敦订了这本书。,书,
她在伦敦订了这本书。,书,
外行冒充内行。,行,
他们原谅了他的罪行。,行,
这张书桌花了我不下30000日元。,书,
現今每個人都對天花免疫了。,花,
共產主義是在蘇聯被實行的制度。,行,
我想一個人去旅行。,行,
六点您行吗？,行,
相關調查正在進行中。,行,
我的行李丢了。,行,
明天图书馆见。,书,
我宁愿不睡觉也要看完这本书。,书,
大学对面有几家书店。,书,
他正在籌備一次旅行。,行,
我寧願搭飛機旅行。,行,
他儿子的犯罪行为给他带来了很大的痛苦。,行,
我為一家銀行工作。,行,
朋友就像生命之园里的花朵。,花,
跨国公司预料到了规模经济的实行。,行,
他为她摘了些花。,花,
我会把这本书给你。,书,
這些花比別的花早開花。,花,
"那麼, 讓我們開始進行吧。",行,
將融化了的奶油倒入爆米花中。,花,
一架飛機在這個城市上空飛行。,行,
行與行之間要留一個空間。,行,
UFO代表不明飛行物體。,行,
幾乎是櫻花綻放的時候了。,花,
会议将会在特意安排的礼堂里举行。,行,
車輛靠左行駛。,行,
搭飛機是最快的旅行方式。,行,
步行到車站要一小時。,行,
蒼蠅能在天花板上走。,花,
有一隻大蒼蠅在天花板上。,花,
飛行員用無線電與機場溝通。,行,
上樓把我的旅行箱拿下來。,行,
天文學涉及恆星和行星。,行,
軍人必須履行他們的命令。,行,
花園裡雜草叢生。,花,
所有花園裡的花朵都枯萎了。,花,
花園裡沒有任何玫瑰。,花,
这些书都是我的。,书,
我喜欢嗑葵花籽。,花,
這些花生長在溫暖的國家。,花,
花園裡有竹子在生長。,花,
我想兌換旅行支票。,行,
新郵票將於下個月發行。,行,
我們對他的過去進行了調查。,行,
我阿姨在她的花園種蕃茄。,花,
我的母親在她的花園裡種花。,花,
我討價還價地買到了這輛自行車。,行,
他厌倦了读书。,书,
他们只对卖书有兴趣。,书,
他写了本关于美国南北战争的书。,书,
我認識了這位行政長官。,行,
他從銀行得到了貸款。,行,
世界就像一本书，不旅游的人只读了一页。,书,
过两三天就要开花了。,花,
她今晚舉行派對。,行,
我喜歡搭火車旅行。,行,
她为自己孩子的行为感到羞耻。,行,
金融危机打击了所有经济行业。,行,
建筑业是个阻塞的行业。,行,
这是很有前景的行业。,行,
我该说，他的行为是典范。,行,
董事会一致决定任命她为执行总裁。,行,
这个跟我的秘书研究吧。,书,
营销主管在和执行委员会主席开会。,行,
George計算他旅行的開銷。,行,
樂團演奏了許多進行曲。,行,
她花很多時間在練習彈鋼琴。,花,
凡事行中庸之道。,行,
山窮水盡疑無路，柳暗花明又一村。,花,
这本书会对我们有很大用处。,书,
一些在我的花園裡的玫瑰是白色的，其他的則是紅色的。,花,
賽義認為數學家自給自足的獨行於一小塊天堂。,行,
她更新了花盆裡的土。,花,
他決定成為一名飛行員。,行,
那家店位于银行与学校之间。,银行,
婚礼在哪儿举行？,行,
那个拿着花的女人是谁？,花,
所有這些會議都是以英語進行的。,行,
布萊恩為了這次旅行學英語。,行,
要精通英語將會花費你很長的時間。,花,
搭飛機是旅行最快捷的方法。,行,
坐飛機去沖繩要花多長時間？,花,
坐飛機將花你多少錢？,花,
搭飛機將花你比較多的錢。,花,
应该趁年轻多读点书。,书,
去纽约旅行吧！,行,
我每天要么骑自行车，要么坐公车上班。,行,
他是在这里教书的最年轻的教师。,书,
这本书在英国印刷。,书,
你读完那本书了吗？,书,
他在20岁的时候写了这本书。,书,
花园里开满了黄花。,花,
我希望所有那些想要修訂現行著作權法的人一個從容不迫的夜晚，但實際上所有其他的人也一樣。,行,
來吧，讓我們來談談花。,花,
你看到的這些花是玫瑰。,花,
我爸爸每周给我零用钱，我会用来买漫画书和冰激凌。,书,
他的行为让我坐立不安。,行,
你觉得足球在美国没有那么流行是什么原因？,行,
有人偷了我的行李。,行,
她在她花园里种西红柿。,花,
这本书你该还给他。,书,
你执行你的计划了吗？,行,
你必须按照你的计划行事。,行,
缓期执行在最后关头决定了下来。,行,
男孩在他的花园里，我听着他的声音。,花,
他怀疑的无耻行为差点要了他的命。,行,
他们没有立刻行动。,行,
这本书不是给年轻读者看的。,书,
鳥類飛行。,行,
鮮花盛開。,花,
他愛旅行。,行,
他旅行洽商。,行,
這本書就行了。,行,
你必须马上行动。,行,
您必须马上行动。,行,
他有各种各样的书。,书,
颜色无所谓，给我一支笔就行了。,行,
我们学校的图书馆很小，但是是新的。,书,
這是邁克的自行車。,行,
他習慣了旅行。,行,
繼續直行。,行,
這輛自行車是我的。,行,
這玫瑰花很美麗。,花,
那些花已經枯死了。,花,
明天我一定要记得去买那一本书。,书,
您在英国从事中医行业多长时间了？,行,
花园在房子对面。,花,
在我的城市的所有花園裡，踐踏花壇是違法的。,花,
其他人的期望會影響我們的行為。,行,
那是犯罪行为，你肯定会受到惩罚的!,行,
我注意到他装得就好像他在读书一样。,书,
计划被执行了。,行,
请确认装置牢牢地固定在天花板上了。,花,
他说得就好像他真的在国外读过书一样。,书,
装置被牢牢地固定在天花板上。,花,
这不行!,行,
这怎么行!,行,
不行吗？,行,
布魯斯夫人是英國和日本之間航線的第一位女性飛行員。,行,
如果你把自行車留在雨中，它會生鏽的。,行,
已經花費了很多的時間和精力。,花,
"“你想去那么多国家旅行, 打算怎么和别人交流？”　“这是没问题的。我会世界语。”",行,
有些男人，在家里从来不做事的，到了花街，却有令人意想不到的亲切和勤劳。,花,
比爾會騎自行車。,行,
花子非常喜歡蛋糕。,花,
要花多久時間？,花,
貝蒂正在澆花。,花,
櫻花非常漂亮。,花,
一切按計劃進行。,行,
他喜歡獨自旅行。,行,
我不喜歡假花。,花,
在面試的時候你必須見機行事。,行,
我花了大約五十美元。,花,
只要把那些包包放在任何地方都行。,行,
我只花了三美元。,花,
我已經澆完花了。,花,
它不會花很長的時間。,花,
許多朋友為他送行。,行,
他为一次海外旅行存钱。,行,
我母親教插花藝術。,花,
"它將花費大約10,000日元。",花,
我怕它是行不通的。,行,
你曾經坐飛機旅行過嗎?,行,
他不喜歡搭飛機旅行。,行,
她花了整個下午作飯。,花,
她能忍受長途旅行嗎？,行,
车行道滑的。,行,
这破坏会花费我们很多钱。,花,
俗話說：三百六十行，行行出狀元；可俗話又說：萬般皆下品，唯有讀書高！,行,
俗話說：雙喜臨門；可俗話又說：福無雙進，禍不單行！,行,
俗話說：嫁雞隨雞，嫁狗隨狗；可俗話又說：男怕選錯行，女怕嫁錯郎！,行,
口說好話，心想好意，身行好事。,行,
口說一句好話，如口出蓮花；口說一句壞話如口吐毒蛇。,花,
世上有兩件事不能等：一、孝順 二、行善。,行,
修行要繫緣修心，藉事練心，隨處養心。,行,
女人一定要對自己好一點。一旦累死了，就會有別的女人花你的錢，住你的房，睡你的老公，打你的娃！,花,
他在他的花園種番茄。,花,
最近的旅行社在哪裡？,行,
你一用完了这本书，就把它放回原来找到的地方。,书,
這份工作看起來很簡單，但它花了我一個星期。,花,
父親買了一輛新自行車給我。,行,
这本书非常厚。,书,
反正到了二十二岁什么都知道了，看书还有什么用呢。,书,
請去銀行。,行,
你有任何一日遊的行程嗎？,行,
她按着预谋的决定行动了。,行,
写字台底下有没有任何书？,书,
办公桌底下有没有任何书？,书,
把书目提要交上。,书,
我在学校读书。,书,
我让我秘书打了信。,书,
她下决心要成为秘书。,书,
秘书把她上级说的话记了下来。,书,
秘书面无表情的回答了我。,书,
秘书冷漠地回答了我。,书,
秘书的职位已经有人了吗？,书,
有一个做秘书的空缺职位。,书,
这本书不像那本那么容易。,书,
許多花在三月份綻放。,花,
雖然我行過死蔭的幽谷，也不怕遭害， 因為你與我同在；你的杖，你的竿，都安慰我。,行,
花子又忘記她的傘了。,花,
他继续读他的书，就好像什么都没发生过一样。,书,
海王星是太阳系第八个行星。,行,
這艘船逆風而行緩慢前進。,行,
你明天的行程安排是什麼？,行,
女病者抬头把身体靠在以金字塔的样子排成的绚丽绣花垫。,花,
每隔一行寫。,行,
他们坚持认为日常锻练是必得表出的行为。,行,
他去歐洲旅行了。,行,
我難以容忍他的行為。,行,
我免費得到這輛自行車。,行,
他把他的旅行推迟到明天了。,行,
我能借一下您的自行车吗？,行,
謊言像一朵盛開的鮮花，外表美麗，生命短暫。,花,
你的工作進行得怎麼樣？,行,
我要他提行李箱。,行,
我免費得到了這輛自行車。,行,
她怕獨自旅行。,行,
他的行為冒犯了我。,行,
我想和你去旅行。,行,
我阿姨給我帶來了一些花。,花,
我父親喜歡搭飛機旅行。,行,
正是樱花最美的时节。,花,
我可以看看你的行李條嗎？,行,
在花瓶裡裝些水。,花,
她在花園裡種了玫瑰。,花,
他是个国际银行的翻译。,银行,
禍不單行。,行,
這將花費約10000日元。,花,
請告訴我有關你旅行的事。,行,
打牌是一種流行的消遣方式。,行,
去年夏天我去意大利旅行。,行,
"我的兄弟把他的貓取名為""花子""。",花,
我父親的嗜好是種玫瑰花。,花,
“拜个不够行的师父，很伤脑筋吧？”　“我也很笨，所以没关系。”,行,
他们到位了实行新概念的广告策略。,行,
我们必得缴通行税才能在这条道路上行驶。,行,
她在花園裡摘花。,花,
現在很多人開車去旅行。,行,
鲍勃在他房间里有很多书。,书,
鲍勃有太多的书要读。,书,
鲍勃忘记带通行证，这使得他上学迟到了。,行,
這個行為的目的是不明確的。,行,
星期天銀行沒開。,行,
你旅行的目的是什麼？,行,
我看他的計劃可行性不大。,行,
必須採取一些行動了！,行,
你的自行车比我的好。,行,
明天他們將舉行派對。,行,
這朵花很美，不是嗎？,花,
他們在花園裡種花。,花,
花園裡沒有人。,花,
马克有我的书。,书,
這些花有一種獨特的氣味。,花,
我們在我們的花園裡種蔬菜。,花,
行星繞著太陽轉。,行,
您此行的目的是什麼？,行,
花園裡充滿了花朵。,花,
這些花很美，不是嗎？,花,
我上個月舉行了婚禮。,行,
我們今天晚上將舉行派對。,行,
我們下個星期六將舉行派對。,行,
搭公車到那裡大約要花多久的時間？,花,
復原需要花很長的時間嗎？,花,
你可以把我的行李拿到樓上嗎?,行,
那頂帽子花費了大約五十美元。,花,
把我的電視機修好花了我一萬日元。,花,
都市裡的父親每天花八個小時在辦公室裡，而且每天早上和晚上另外再花兩個小時在往返於工作並擠滿了人的火車上。,花,
三思而後行！,行,
那天我不行。,行,
會議將於明天舉行。,行,
這是一朵非常美麗的花。,花,
這個花叫什麼名字？,花,
你為什麼不舉行派對？,行,
我們在花園裡摘花。,花,
人類食衣住行娛樂用的每一件東西都是全世界的人一起幫我們做出來的，而且參與的每個人都只知道怎麼創造一小部分，沒有例外。因此當我們決定幫自己一把來幫助全世界，只要全力關注創造，全世界的人都會幫我們。,行,
他在花園裡找到了一顆球。,花,
這艘船航行通過了直布羅陀海峽。,行,
我在機場為茱莉送行。,行,
長途步行後我覺得餓了。,行,
我花了五元買這本書。,花,
鐵路工人明天將繼續進行罷工。,行,
你要這些花中的任何一朵嗎？,花,
我花30美元買了一台照相機。,花,
我騎了我的自行車去商店。,行,
他花了1000日元買這本書。,花,
我正從花園來。,花,
從這裡到希爾頓飯店要花多久時間？,花,
當我有一個懷孕的妻子，而我取下我的結婚戒指去約會派對是可行的事嗎？,行,
科學講求實證，所以當全世界都覺得你不行，但你自己覺得行，至少覺得你不行的那個假設已經被推翻了，接下來只要一直嘗試，你行的假設就不會被推翻！,行,
我通常騎自行車去上學。,行,
我簡直不用花錢就買到了。,花,
我花了3000日元買了一張新的CD。,花,
世人都不記住善行。,行,
我寫這封信得花三小時。,花,
她正在澆花。,花,
應該為這些花遮擋風雨。,花,
行動勝於雄辯。,行,
坐而言不如起而行。,行,
行動比語言更響亮。,行,
他喜歡照顧花園。,花,
我上週日花時間看了一本小說。,花,
我在人行道上發現了一枚硬幣。,行,
我花了一個半小時的時間解決這個問題。,花,
讓我們進行討論。,行,
他把他的行李留在車站。,行,
彼得不是有意打破花瓶。,花,
他写了很多关于中国的书。,书,
許多朋友來為我送行。,行,
步行到車站要花十分鐘。,花,
瑪麗手上有一朵花。,花,
我可以用旅行支票支付嗎？,行,
現在長裙不流行了。,行,
她在花園裡發現了一顆球。,花,
我想要一間面對花園的房間。,花,
她手上有一朵花。,花,
請將您的自行車移出這裡。,行,
我一天花了500美元。,花,
她正忙著準備這次旅行。,行,
那輛在樹下的自行車是我的。,行,
這條路太窄汽車無法通行。,行,
在花園裡的玫瑰正盛開著。,花,
你把我的行李放到哪裡去了？,行,
我們很節省地旅行。,行,
我們用少的預算旅行。,行,
這台相機至少要花費500美元。,花,
我們乘著獨木舟向河的下游而行。,行,
在北海道周圍可以看到這些花。,花,
在英國開車要靠左行駛。,行,
這樣的行為導致問題。,行,
他的一生都在学习，教书。,书,
他的教导都包含在道教者看作关于宗教最后的权威的道德经那本深刻的书。,书,
北军行动失败得如丧家之犬。,行,
可想而知我在学汉字上花太多时间，所以我应该更好地练习语言的其他方面。,花,
挺好，挺好，下一次再花点儿功夫就成功了。,花,
我們請花子彈鋼琴。,花,
你此行的目的是什麼？,行,
在門口的自行車是我的。,行,
他的秘书好像了解真相。,书,
我們必須取消我們去日本的旅行。,行,
他的行為和他的信念背道而馳。,行,
這件衣服花了我40000日元。,花,
短裙已經不流行了。,行,
我喜歡流行音樂。,行,
我去年做了一次長途旅行。,行,
他環遊世界旅行。,行,
她上週去旅行了。,行,
花子虛張聲勢。,花,
你的行為已經冒犯了他的尊嚴。,行,
讓我們租一輛自行車。,行,
他总是注意着他的孩子的行为。,行,
很多月亮在土星四周绕轨道运行。,行,
他花了一上午的時間看書。,花,
許多衛星繞著土星運行。,行,
舉行了一場歡送會以紀念瓊斯先生。,行,
如果可能的話我想去世界各地旅行。,行,
當她的孩子在公共場合行為表現不好的時候，她覺得很尷尬。,行,
我完全没有读书。,书,
任何一本杂志都行。,行,
他喜歡到國外旅行,行,
如果进行尝试，任何人都可以做。,行,
我有一本关于钓鱼的书。,书,
工会参加了示威游行吗？,行,
捷克打破了他母亲心爱的花瓶。但是他母亲没生气，因为他不是故意的。,花,
我在澆花。,花,
我買了兩袋爆米花。,花,
他买一把刀行，我买就不行了吗？,行,
我先要去银行，然后去买票。,银行,
我觉得看一部电影比看什么书更有趣。,书,
她花实在太多的时间在网上冲浪。,花,
车取代了自行车。,行,
我通常帶著日記一起旅行。,行,
这是我自己的自行车。,行,
他们正在焚书。,书,
难道他可以买一把刀，而我就不行了？,行,
这套书共四十八册。,书,
请不要在图书馆的书上涂写。,书,
一个知识分子是发现到一种比性行为更有意思的活动的人。,行,
你认为为什么足球在美国不是很流行？,行,
说话的人用声音来表达他的意思，著书的人记录下人们说的话，因此留下言论为的是表达意思，而著作书籍为的是记录言论。,书,
你买了本什么样的书？,书,
“你好幸福。” “没有你幸福啦。我还在花父母的钱呢。”,花,
Linux系统的高手都会用命令行。,行,
我的笔记本电脑运行Linux。,行,
我在笔记本电脑上运行Linux。,行,
Ubuntu是一个流行的Linux发行版。,行,
我买了那些小孩需要的书。,书,
“她的书在那里？”“在桌子上。”,书,
他在书店买了本英文书。,书,
你读了那本书吗？,书,
看这本书是个好主意。,书,
他跟平时一样把钥匙放在书桌上。,书,
只有一家商店卖这本书。,书,
他们的这些行为很突兀。,行,
读这样的书会对今后的生活会有用。,书,
暴风雪的时候，我要骑自行车回公寓。,行,
木星是太陽系裡最大大行星。,行,
我對他的行徑難以忍耐。,行,
他已形同行屍走肉。,行,
我们学语言，主要通过背单词，看语法书。,书,
既然我在和我的银行咨询人员谈论我的贷款， 我顺便说一下我妻子的。,银行,
在没有良师益友的时候，读书是非常好的学习方式。,书,
不消三個月，這筆錢就會全給我花清光。,花,
你喜歡旅行嗎？,行,
周六银行不开门。,银行,
据我所知，这本书还没被翻译成日语。,书,
多花點錢在房子上，也有一些好處 ﹣ 例如，賣的時候可以賣個比較好的價錢。,花,
他在看书。,书,
他喜欢这本书。,书,
不會花很多時間的。,花,
这些书和衣服都是你的。,书,
今年夏天滿多情人去夏威夷旅行。,行,
我边吃饭边看书。,书,
我还年轻的时候曾经祈祷，希望自己能得到一辆自行车。后来我意识到，这样向上帝祈求是行不通的。因此我偷了一辆自行车，并祈求上帝能宽恕我。,行,
他的眼里涌动着泪花。,花,
大家都喜欢那朵花。,花,
这是花吗？,花,
在脚注中，书名和杂志名称要用斜体字书写。,书,
韦斯特先生和女士正在蜜月旅行的路上。,行,
我是不是应该给你那些书看？,书,
许多科学家认为海豚是仅次于人类的最聪明的生物。也许有一天我们可以跟他们进行真正的交流。,行,
她在图书馆读一本书。,书,
所有的花都是纸做的。,花,
我对他们无耻的行径感到厌恶。,行,
先生，我們可以檢查一下您的行李嗎？,行,
把它相较于其他有意思的活动：去电影院，看书，散步，跟朋友聊天等等。,书,
你的行李沉不沉？,行,
她姐姐没去中国旅行。,行,
他儿子不在银行工作。,银行,
你打算看什么书？,书,
大家都知道他不是什么小神。保护他就等于赞同和支持他的行为。,行,
你负责赚钱养家，我负责貌美如花。,花,
太空旅行是不可能的。,行,
這趟旅遊花了我不少錢。,花,
我倒水進去花瓶裡。,花,
虽然她知道那家公司不但对当地官员行贿而且也给她的家人带了了极大的麻烦，可她还是应聘了那家公司的一份工作。,行,
這是朵人造花。,花,
我突然跳起来的时候把花瓶桌子上的打翻了。,花,
跟上最近潮流时尚是件非常花钱的事儿。,花,
帶著希望旅行比達到目的地更為美好。,行,
他們小型的示威引發了一場大規模的遊行。,行,
我上个星期匆匆地在我的房间里看了四本书。,书,
「小说啊？我就讨厌看小说。」天哪，请原谅她的亵渎行为。,行,
「小说啊？我就讨厌看小说。」缪斯，请原谅她的亵渎行为。,行,
那是小李的书。,书,
我會為這次行動負起全責。,行,
读书，可以获得乐趣、友谊、经验和指导。,书,
一本好书会令你全神贯注，甚至忘掉周围和自己。,书,
读书是人生一大快事。,书,
开心时，书可以给你增加快乐；忧伤时，书可以给你减少哀愁。,书,
无论读书的目的是什么，书总会带给我们乐趣和满足。,书,
一本好书在手，我们不必孤单。,书,
无论书中的人物是真实的还是完全假想的，他们能成为你的伙伴和朋友。,书,
在书中，我们可以跟各个时代、各个地方的智者仁人同行。,书,
我们在书中认识的人可以带给我们愉悦或是他们与我们生活中挚爱的朋友相似，或是因为他们是我们所不熟悉却乐于结识的人。,书,
我们生活中的朋友有时会让我们觉得无聊，而我们书中的朋友永远不会这样。,书,
书页翻动之间，我们可以对书中的人物不予理会而不伤及他们的情感。,书,
生活中的朋友弃我们不顾之时，书随时给我们送来友谊、同情和鼓励。,书,
你的书什么时候出版？,书,
这种行为可能造成意外。,行,
这书会教给你一个明了的美式人生观。,书,
我们住大图书馆附近。,书,
我们可能去旅行几天。,行,
从这里坐车，要花两个小时才能到我叔叔家。,花,
阅读一本书可以比作一次旅行。,书,
她会骑自行车吗？,行,
我不觉得电视会代替书籍。,书,
几个学生来到了图书馆。,书,
他把天花板刷成了蓝色。,花,
他常常坐着看书一连好几个小时。,书,
他对自己的思维方式进行着很多思考。,行,
你是我生命中最美丽的花朵。,花,
年轻人喜欢他的书籍。,书,
57号航班的行李在哪？,行,
这支笔花了我不止一百元。,花,
从这里步行到你家要多长时间？,行,
你可以在这两本书中选一本。,书,
请问问他们图书馆有没有这本书。,书,
母亲把一个大花瓶放在了架子上。,花,
这就是我找过的那本书。,书,
花园里的花需要浇水。,花,
她手里拿着花。,花,
從一個人在某件事上肯花多少時間，就能看出這件事對這個人有多重要。,花,
他写了一本关于丛林冒险的书。,书,
他应为他的英勇行为获得一枚奖章。,行,
月球不是一颗行星，而是地球的一颗卫星。,行,
我花了两倍的价钱买下这本二手书。,书,
别把你的书放在桌上。,书,
这是一朵美丽的花。,花,
这本书出版于1689年。,书,
我花了一整天來打掃房間。,花,
我让我哥修理我的自行车。,行,
他拥有的书是我拥有的三倍。,书,
你的书在书桌上。,书,
花园里树上的叶子已经完全变红了。,花,
哥伦布提出，向西航行可以到达印度。,行,
蜜蜂在花丛中飞行。,花,
格列佛为寻求探险而旅行。,行,
他的行为值得尊重。,行,
华盛顿的樱花现在开放。,花,
玛丽是汤姆的秘书。,书,
下午我必须为旅行做准备了。,行,
这本书弊大于利。,书,
“她的爱好不寻常啊，这个转学生。”“她长得可爱，所以对我来说还行。”,行,
他感染了旅行者的痢疾。,行,
四月春雨，五月花。,花,
我花園裏的花在寒冷的天氣下枯萎了。,花,
院子里有很多花吗？,花,
她昨晚已經收拾好行李，所以今天早上沒費多少工夫就準備好出門。,行,
海外旅行通常都要用到護照。,行,
花凋谢了。,花,
我敢花的就只那么多。,花,
我正拿着书.,书,
他们每星期天举行朝拜.,行,
不要把流星和小行星搞混了。,行,
我在银行存了1000美金。,银行,
行了。,行,
